Air Partner,\N,,ACG,AIR PARTNER,United Kingdom,N
Air Caledonie International,\N,SB,ACI,AIRCALIN,France,Y
Air Caledonia,\N,,ACM,WEST CAL,Canada,N
Air Guam,\N,,AGM,AIR GUAM,United States,N
Air Gabon,\N,GN,AGN,GOLF NOVEMBER,Gabon,N
Air Data,\N,,AFS,,United Kingdom,N
Air Afrique Vacancies,\N,,AFV,AFRIQUE VACANCE,Ivory Coast,N
Air Cargo America,\N,,MVM,PEGASUS,United States,N
Air Salone,\N,2O,,,Sierra Leone,Y
Air-Angol,\N,,NGO,AIR ANGOL,Angola,N
Air Nigeria,\N,,NGP,REGAL EAGLE,Nigeria,N
Air Cargo Carriers,\N,2Q,SNC,NIGHT CARGO,United States,Y
Air Samarkand,\N,,SND,ARSAM,Uzbekistan,N
Air Senegal International,\N,V7,SNG,AIR SENEGAL,Senegal,N
Air Sandy,\N,,SNY,AIR SANDY,Canada,N
Air Namibia,\N,SW,NMB,NAMIBIA,Namibia,Y
Air Intersalonika,\N,,NSK,INTERSALONIKA,Greece,N
Air Anatolia,\N,,NTL,AIR ANATOLIA,Turkey,N
Air Saigon,\N,,SGA,AIR SAIGON,Vietnam,N
Afrique Regional Airways,\N,,AFW,AFRAIR,Ivory Coast,N
Airfreight Express,\N,,AFX, ,United Kingdom,N
Africa Chartered Services,\N,,AFY,AFRICA CHARTERED,Nigeria,N
Africa Freight Services,\N,,AFZ,AFREIGHT,Zambia,N
Aeronaves Del Centro,\N,,AGA,,Venezuela,N
Air Service Gabon,\N,G8,AGB,,Gabon,N
Arab Agricultural Aviation Company,\N,,AGC,AGRICO,Egypt,N
Atlantic Gulf Airlines,\N,,AGF,ATLANTIC GULF,United States,N
Aerolitoral,\N,5D,SLI,COSTERA,Mexico,Y
Algoma Airways,\N,,AGG,ALGOMA,Canada,N
Altagna,\N,,AGH,ALTAGNA,France,N
Angola Air Charter,\N,,AGO,ANGOLA CHARTER,Angola,N
Angola Air Charter,\N,,AGO,ANGOLA CHARTER,Angola,N
AERFI Group,\N,,AGP,AIR TARA,Ireland,N
Aerogala,\N,,AGQ,GALASERVICE,Chile,N
Amadeus Global Travel Distribution,\N,1A,AGT,AMADEUS,Spain,N
Angara Airlines,\N,,AGU,SARMA,Russia,N
Air Glaciers,\N,7T,AGV,AIR GLACIERS,Switzerland,Y
Aero Gambia,\N,,AGW,AERO GAMBIA,Gambia,N
Aviogenex,\N,,AGX,GENEX,Serbia,Y
Atlantic Coast Airlines,\N,,BLR,BLUE RIDGE,United States,N
Aero Barloz,\N,,BLZ,AEROLOZ,Mexico,N
Aeroper,\N,PL,PLI,Aeroperu,Peru,Y
Atlas Blue,\N,8A,BMM,ATLAS BLUE,Morocco,Y
Aero Banobras,\N,,BNB,AEROBANOBRAS,Mexico,N
Aero Flight Service,\N,,AGY,FLIGHT GROUP,United States,N
Agrolet-Mci,\N,,AGZ,AGROLET,Slovakia,N
Air Alpha Greenland,\N,GD,AHA,AIR ALPHA,Denmark,N
Azal Avia Cargo,\N,,AHC,AZALAVIACARGO,Azerbaijan,N
Airport Helicopter Basel,\N,,AHE, Muller & Co.,AIRPORT HELICOPTER,N
Aeroservices Corporate,\N,,CJE,BIRD JET,France,N
Aspen Helicopters,\N,,AHF,ASPEN,United States,N
Aerochago Airlines,\N,,AHG,AEROCHAGO,Dominican Republic,N
